City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,vicuna,-30.0319,-70.7081,74.32,34,0,1.79,CL,1731377061
151,kosh-agach,50.0,88.6667,21.74,71,97,10.11,RU,1731377333
152,businga,3.3333,20.8833,70.14,98,26,1.86,CD,1731377334
153,xilin hot,43.9667,116.0333,38.32,48,0,7.81,CN,1731377336
154,st. john's,47.5649,-52.7093,44.98,91,100,17.27,CA,1731377337
155,coronel dorrego,-38.7187,-61.2873,48.47,86,99,5.95,AR,1731377339
156,mazowe,-17.504,30.9739,70.57,66,82,4.72,ZW,1731377340
157,vila franca do campo,37.7167,-25.4333,68.41,99,52,15.57,PT,1731377342
158,sinabang,2.4803,96.3801,79.02,86,100,5.44,ID,1731377343
159,udachny,66.4167,112.4,-9.54,100,100,3.62,RU,1731377344
160,queenstown,-31.8976,26.8753,52.9,87,92,3.42,ZA,1731377345
161,dunedin,-45.8742,170.5036,54.7,64,3,10.87,NZ,1731377231
162,kitimat,54.0524,-128.6534,39.9,29,100,1.54,CA,1731377348
163,ust-nera,64.5667,143.2,-16.96,98,82,2.35,RU,1731377349
164,georgetown,5.4112,100.3354,85.95,77,20,5.99,MY,1731377350
165,wigton,54.8248,-3.1611,38.84,90,91,3.36,GB,1731377351
166,klyuchi,52.2667,79.1667,18.14,80,100,14.81,RU,1731377353
167,bikin,46.8161,134.26,31.48,81,100,11.12,RU,1731377354
168,puerto santa,-8.9906,-78.6456,64.13,87,100,9.53,PE,1731377355
169,la asuncion,11.0333,-63.8628,79.86,84,58,8.21,VE,1731377356
170,buwenge,0.6422,33.1744,64.72,94,100,1.48,UG,1731377166
171,codrington,-38.2667,141.9667,76.3,40,78,5.68,AU,1731377358
172,yanchep,-31.55,115.6833,67.87,58,36,9.93,AU,1731377360
173,jabal os saraj,35.1183,69.2378,42.21,19,32,1.16,AF,1731377361
174,puerto deseado,-47.7503,-65.8938,58.05,41,100,24.38,AR,1731377362
175,yelizovo,53.1873,158.3805,37.54,44,75,13.42,RU,1731377363
176,tefe,-3.3542,-64.7114,77.99,79,100,2.15,BR,1731377156
177,poli,-3.3333,36.8,59.59,91,24,1.16,TZ,1731377366
178,ves'yegonsk,58.664,37.2604,29.53,82,100,5.1,RU,1731377367
179,atafu village,-8.5421,-172.5159,83.93,71,4,12.64,TK,1731377368
180,tocopilla,-22.092,-70.1979,66.43,72,1,4.14,CL,1731377232
181,antsiranana,-12.2787,49.2917,76.86,79,6,12.64,MG,1731377370
182,puerto san jose,13.9256,-90.8244,80.1,79,100,1.36,GT,1731377372
183,cidreira,-30.1811,-50.2056,64.92,88,100,6.67,BR,1731377373
184,vorgashor,67.5833,63.95,-1.35,97,72,9.01,RU,1731377374
185,alotau,-10.3069,150.4462,85.98,68,99,5.64,PG,1731377375
186,juan griego,11.0817,-63.9655,79.52,86,55,6.15,VE,1731377376
187,tromso,69.6496,18.957,39.22,93,100,12.66,NO,1731377378
188,tucuma,-0.1833,-50.05,80.69,77,100,9.1,BR,1731377379
189,aasiaat,68.7098,-52.8699,27.93,78,100,19.55,GL,1731377380
190,fayzabad,37.1166,70.58,46.26,44,100,6.82,AF,1731377381
191,wewak,-3.5534,143.6268,79.2,85,99,4.34,PG,1731377382
192,gadzhiyevo,69.2551,33.3362,36.37,88,100,16.24,RU,1731377385
193,iskateley,67.6803,53.1512,14.68,98,91,5.79,RU,1731377386
194,thinadhoo,0.5333,72.9333,83.21,74,95,15.86,MV,1731377387
195,tabou,4.423,-7.3528,78.53,84,7,6.67,CI,1731377389
196,toyoshina,36.2999,137.9011,67.08,52,2,0.2,JP,1731377390
197,imbituba,-28.24,-48.6703,68.0,86,38,14.36,BR,1731377391
198,port mathurin,-19.6833,63.4167,75.81,80,74,20.31,MU,1731377392
199,necochea,-38.5473,-58.7368,48.96,81,1,5.32,AR,1731377314
200,ha'il,27.5219,41.6907,60.82,82,0,2.3,SA,1731377395
201,santa cruz cabralia,-16.2781,-39.0247,73.63,94,0,4.61,BR,1731377396
202,naze,28.3667,129.4833,74.44,76,95,10.47,JP,1731377397
203,vilyuchinsk,52.9306,158.4028,37.67,74,17,33.13,RU,1731377398
204,ubinskoye,55.3068,79.6802,9.91,91,100,14.92,RU,1731377399
205,tuyen quang,21.8233,105.2181,80.01,56,37,1.01,VN,1731377401
206,yuli,9.6989,10.2744,72.77,38,48,5.61,NG,1731377402
207,luebo,-5.35,21.4167,68.45,96,41,1.19,CD,1731377403
208,nagqu,31.5,92.0,28.18,35,99,3.0,CN,1731377404
209,bahia de caraquez,-0.6,-80.4167,72.19,78,31,10.18,EC,1731377405
210,kindu,-2.95,25.95,69.31,99,100,1.21,CD,1731377407
211,altai,46.3722,96.2583,24.49,63,51,22.77,MN,1731377408
212,kuanda,56.3161,116.0806,6.26,84,72,1.45,RU,1731377409
213,kerikeri,-35.2268,173.9474,66.87,59,15,9.57,NZ,1731377410
214,bilibino,68.0546,166.4372,-9.49,96,85,4.03,RU,1731377411
215,san luis de la loma,17.2706,-100.8939,79.74,86,76,3.91,MX,1731377413
216,kone,-21.0595,164.8658,90.72,36,12,4.09,NC,1731377414
217,heze,35.2431,115.4411,65.44,60,2,5.06,CN,1731377415
